Fecha,Periodo,Monto
15/07/2002,636,9.7522
16/07/2002,637,9.7345
17/07/2002,638,9.6468
18/07/2002,639,9.6462
19/07/2002,640,9.7053
22/07/2002,641,9.6285
23/07/2002,642,9.613
24/07/2002,643,9.7018
25/07/2002,644,9.7158
26/07/2002,645,9.7652
29/07/2002,646,9.6944
30/07/2002,647,9.741
31/07/2002,648,9.7861
01/08/2002,649,9.8769
02/08/2002,650,9.8412
05/08/2002,651,9.7928
06/08/2002,652,9.7473
07/08/2002,653,9.7348
08/08/2002,654,9.7335
09/08/2002,655,9.764
12/08/2002,656,9.8402
13/08/2002,657,9.9512
14/08/2002,658,9.9668
15/08/2002,659,9.9292
16/08/2002,660,9.8643
19/08/2002,661,9.7747
20/08/2002,662,9.7713
21/08/2002,663,9.7854
22/08/2002,664,9.8388
23/08/2002,665,9.8488
26/08/2002,666,9.8267
27/08/2002,667,9.8543
28/08/2002,668,9.899
29/08/2002,669,9.9193
30/08/2002,670,9.9109
02/09/2002,671,9.9187
03/09/2002,672,9.9789
04/09/2002,673,10.0154
05/09/2002,674,10.0086
06/09/2002,675,9.9621
09/09/2002,676,9.9605
10/09/2002,677,9.9511
11/09/2002,678,9.9654
12/09/2002,679,10.0023
13/09/2002,680,9.9674
17/09/2002,681,9.9658
18/09/2002,682,10.0116
19/09/2002,683,10.0628
20/09/2002,684,10.2265
23/09/2002,685,10.3578
24/09/2002,686,10.2425
25/09/2002,687,10.2565
26/09/2002,688,10.1667
27/09/2002,689,10.1767
30/09/2002,690,10.2299
01/10/2002,691,10.1573
02/10/2002,692,10.1248
03/10/2002,693,10.1398
04/10/2002,694,10.184
07/10/2002,695,10.2154
08/10/2002,696,10.1575
09/10/2002,697,10.2048
10/10/2002,698,10.2195
11/10/2002,699,10.1592
14/10/2002,700,10.1084
15/10/2002,701,10.0683
16/10/2002,702,10.0757
17/10/2002,703,9.9988
18/10/2002,704,9.9842
21/10/2002,705,9.9383
22/10/2002,706,9.9723
23/10/2002,707,10.0079
24/10/2002,708,9.9468
25/10/2002,709,9.9816
28/10/2002,710,10.0003
29/10/2002,711,10.1593
30/10/2002,712,10.2263
31/10/2002,713,10.1552
01/11/2002,714,10.1992
04/11/2002,715,10.182
05/11/2002,716,10.2099
06/11/2002,717,10.1698
07/11/2002,718,10.2428
08/11/2002,719,10.2953
11/11/2002,720,10.3334
12/11/2002,721,10.3447
13/11/2002,722,10.2787
14/11/2002,723,10.2092
15/11/2002,724,10.2484
18/11/2002,725,10.176
19/11/2002,726,10.1635
21/11/2002,727,10.0874
22/11/2002,728,10.1333
25/11/2002,729,10.1065
26/11/2002,730,10.1535
27/11/2002,731,10.1496
28/11/2002,732,10.1193
29/11/2002,733,10.1465
02/12/2002,734,10.1036
03/12/2002,735,10.1421
04/12/2002,736,10.2287
05/12/2002,737,10.2452
06/12/2002,738,10.2724
09/12/2002,739,10.1852
10/12/2002,740,10.1744
11/12/2002,741,10.1785
13/12/2002,742,10.185
16/12/2002,743,10.1966
17/12/2002,744,10.2053
18/12/2002,745,10.2526
19/12/2002,746,10.192
20/12/2002,747,10.1836
23/12/2002,748,10.1907
24/12/2002,749,10.2014
26/12/2002,750,10.2479
27/12/2002,751,10.3125
30/12/2002,752,10.3613
31/12/2002,753,10.4393
02/01/2003,754,10.3626
03/01/2003,755,10.3856
06/01/2003,756,10.4195
07/01/2003,757,10.328
08/01/2003,758,10.3617
09/01/2003,759,10.4112
10/01/2003,760,10.4672
13/01/2003,761,10.5368
14/01/2003,762,10.5274
15/01/2003,763,10.4875
16/01/2003,764,10.5083
17/01/2003,765,10.59
20/01/2003,766,10.6222
21/01/2003,767,10.6866
22/01/2003,768,10.8263
23/01/2003,769,10.7708
24/01/2003,770,10.8267
27/01/2003,771,10.8875
28/01/2003,772,10.8842
29/01/2003,773,10.9863
30/01/2003,774,10.8636
31/01/2003,775,10.9069
03/02/2003,776,10.8833
04/02/2003,777,10.9822
06/02/2003,778,10.8731
07/02/2003,779,10.8979
10/02/2003,780,10.9948
11/02/2003,781,10.94
12/02/2003,782,10.9832
13/02/2003,783,10.9723
14/02/2003,784,10.8823
17/02/2003,785,10.7667
18/02/2003,786,10.7722
